title,rating,body
Don't buy this phone,1,  Both 13 MP and 5MP Camera quality is good. Have lot of pre installed apps. But can be uninstalled if not required. Overall good performance . I am using Asus zenfone max and according to me far better than Asus except Camera quality. It comes in 5000 mah battery and one can't get a better option at this price range. Go for it. It's really goodAfter one week useEdit:- please don't buy this phone. It hangs a lot and sometimes there is problem in touch screen.
One of the good choice for low budget phone,4,  If you are looking for low budget phone this can be a good choice for you.If you wanna android phone just for day to day work then it's really good.On playing heavy games it will hange obviously. Camera is fine at this range. When you start your new device it take some time but later it will work smoothly.Phone is light weight with a good look
Bad camera and made in China,1,  Camera quality is not good. It is mentioned as 13mp but the motion of the camera is like 2mp. Phone is very slow in operation even though it is 3gb RAM . More over it is MADE IN CHINA.
Simply excellent. Read complete review written after my 30 days of experience,5,"  Excellent mobile for daily use @7500/-. Don't belive in negative reviews at all. If course the product parts made in China, entire assembly, software all are of India. Even this mobile have no bloat ware or Chinese apps and it's 3gb variant is excellent and black colour looks great.Camera is good at it's price range and has autofocus and AI potrait feature.Regarding battery is really huge and with normal daily usage it lasts for about 24 hrs as of my experience. With heavy usage and gaming it lasts for 7-10 hrs.Regarding gaming, since it has gaming processor helio G25 (equal to Snapdragon 625), and it's hyperdrive technology, no lag in gaming and better network connectivity makes games more aweful.Overall product is excellent at it's price range."
Amezing One,5,"  If I started to rating it's all features, it will as followed (Out of 5 🌟):Processor ⭐⭐⭐⭐Display ⭐ ⭐⭐⭐⭐Battery ⭐⭐⭐⭐⭐Sound in loud ⭐⭐⭐Sound in 3.5 mm cord ⭐⭐⭐⭐⭐Camera Selfie ⭐⭐⭐Camera Back ⭐⭐⭐⭐Networking ⭐⭐⭐⭐⭐Lack:There is no Fingers print sensor locked.There is no Back cover in the box.Camera quality not so good."
Value-For-Money & Recommended for a normal user,4,"  I purchased it for my Mother, Decent product in this price range.* Looks beautiful and elegant.*Initial Performance is good for a normal user and clipped to be alright for everday use. not recommended for gamers.*  Front and back cameras are avarage and good in this price range. AI based potrate mode works fine. In this price range this is fine so far.* Bigger display and fairly decent and good enough for videos.*Most of the preloaded apps are uninstallabe and storage management is also decent.*Battery is main pro to be highlighted, in this price range 5000mah battery is superb and does it job.*Sound is crisp and clear and call quality is also decent**Main Con : Charger included in the box is not 10W as xiaomi advertised and it is a normal 5W. It make a littlr bit time to juice up 5000 mah battery."
Poor,1,  Battery is getting drained out quite fast. 7% in an hr. with half an hr of usage. Camera is also poor. Charging is very slow that was known though. First point is troubling!
Dont buy it as lower model is good then this,3,"  Not as good as redmi 8a, no type C , no fast charge, sound is low compared to remi 8a, display is also poor compared to redmi 8a , camera is nonsense. you should by redmi 8a or 8a dual.You can buy this if above are not problematic to you....... As this phone cost 1k lesss then other"
BUDGET WORTHY PHONE,5,  Nice phone.. overall performance is just amazing
Poor processor basic UI also lagging,3,"  COVID 19 drastically changed everything. Looks display value for the money but performance is very low I haven't installed any single app but phone lags a lot. But in this present situation it is the best phone for online classes. Camera is good, battery is awesome. So decide your choice"
Compass is not working,1,"  Compass is not working, showing error as required sensor are not available,And everything is fine."
Please..... 🙏 don't Buy. Cheapest product from Mi👎Don't Believe in Paid Adverstiment,1,"  Review after one-day full usage and 28 days of usage. overall I am very disappointed with this phone. 😞. I never expected such a phone from MI.  Mi is cheating people by providing a low-quality display. If I have an option to return this Phone 📱, definitely I will return.Pros: Battery - Battery backup is a fantastic feature of this phone. One day full use drained only 29% 😀. The phone is too lightweight ☺️ and very handy😄 Not felt any heating issue while charging and after long hours of usage. 😃.Cons :All apps are lagging.Camera - The camera quality is poor, both front and back camera. 😭GPU - Graphics processor PowerVR GE820 can't draw even a single circle properly. 😠😠.High-quality video & image rendering are also unsatisfactory.Processor - Mediatek Helio G25 is processor is not sufficient for this phone. 😥. Not feeling the benefits of 2GHz clock speed.Display - Size of the display is quite good 👍But it has only 267 PPI. Even Redmi 4A (released in Nov 2016) has 296 PPI. 😠Display quality is too poor. 😫 Very cheap quality display.Ignorable Missing features -  No fingerprint sensor. 🥺  No led in front of the display.😰Major Missing features -  No gorilla glass protection 😥If you planning to buy a phone within a low budget you can choose the next segment of phones with HelioG35 or above🤗 with at least above 290 PPI.Considering all factors, this is not a budget phone and Don't Buy."
Made in China product,3,  Made in China product
Nice mobile at best price,5,"  Your browser does not support HTML5 video.


   Cheap & Best phone in this range"
Made in China....Not made in india...returning the product,1,  Made in china...The country of origin should be mentioned in the description...Returning the Chinese crap
Very cheap product,1,  1. Very bad quality mobile2. Poor display quality(looks very cheap)3. Sound is very low4. Cmaera is like 2mp camera5. Performance is very slow(lag while using phone)6. Will get better mobiles with this price.7. Think 100 times before wasting your money on crap8. No pros at all
Useless phone,1,  Redmi 9A launched useless phone everTotally waste moneySo please not buying this phone
Winner of the caparison by price is the realme.,3,  REALME batter than redmi now
Value for Money. Well done Redmi.,5,"  1. Display is excellent. Colors and sharpness is good.2. Descent cameras according to price.3. In hand feel of phone is good. It's slim and despite 5000 Mah battery, it feels light.4. Battery backup is good. Easily last one day.5. Performance is good according to price. Mediatek G25 does it job well. You can play COD and FREE FIRE easily at low settings.6. Speaker loudness is average but quality is good.7. MIUI 12 experience is amazing. No ads and reduced bloatware."
Best product at low price,5,  Awesome product at low price.Compatible productFast and best batteryLess time more battery chargeAnd does not drain battery.Amazing product
nice product,4,  Quite goodBattery and build quality is betterBut camera and speakers are okok.
Over all Ok,4,"  Advantage :3GB+32 For Rs. 7498/-With 6.5 Inch & 5000 mah Battery Acceptable.Disadvantage :*No Finger Print Sensor*Front Camera is 5 MP Only, if it's 8 MP & Rear Side 13+5 MP means little acceptable.Over all Ok."
Redme 9A,3,  No finger print....there is vast color difference in picture & actual . there is no matching in SEA BLUE color. piece received with DARK Blue colorotherwise good gadget at this price.
Best under budget phone,5,  Screen is big and crisp battery backup is great. You can find lag here and there but manageable don't expect gaming in this phone. Camera is below average. All together phone feels premium in look with below average performance. If tou are planning to buy in this budget no phone will beat this phone.
Smooth and satisfying,5,"  Bought 3gb 32gb sea blue variant.Very nice and smooth looking phone.Runs smoothly without any hiccups.The blue color is so amazing.Doesn't heat with prolonged use.Amazing battery, drains slowly and charges quickly.Display is very good.Quick delivery.Overall a must buy."
Good but not up to the mark,3,  Good battery. But phone hangs a.lot. need to restart multiple times
Awesome loved it,5,  It's a beast in its segment. I was little worried about G25 but it handles daily tasks well. Take the 3GB variant as 2gb may feel sluggish. It's not built for gaming. Si gamers stay away. Peace!
Excellent phone,5,"  Nice phone, looks pretty.good backup of battery Thanks Amazon"
Stop🔴🔴🔴,2,  Do not go for it...First mobile from Redmi who have lots of issue...I boot my phone and it hang... Touch not working properly...screen is largeSlow working.....
Cons and Pros,3,"  This is not value for money product because this product have 1k gst which is make hiked priceMi Apps which is un-necessary apps which is take space in storage and you can also deleted system apps and mi app through adb fastboot tools.Back design is very good n beautiful and also have texture liked finish since they r polycarbonate body which is doesn't upset me.Aspect Ratio Of Display is bad in redmi A's Series.Need Improvement.Processor is best for browsering , social networkingThis processor (G25) can be Pubg lite But after 15 mins played they started heating.Battery capacity is awesome ♥️ no need to say. brightness level is good and it also handle with sun. Recommendation for online studying or nornal uses"
Goooooooood,3,  Weary good product  very fast delivery
Points to be noted,3,"  Points to be noted:👉 The sound output of this phone is quite low as compared to other Redmi phones.👉 This phone is much longer than other Redmi phones which can make it difficult to carry.👉 Xiaomi previously provided IR blaster on its budget phones. It is now extinct in their budget phones.👉 Xiaomi started giving ""Type-C"" port by upgrading its budget phones from Micro USB port, but after buying this phone I feel that now they have shifted to ""Micro USB"" port again.👉 After purchasing this phone, I have understood very well that Xiaomi has cut prices in this phone."
Made in china,2,  Phone is good. But it is made in China
Best phone for PARENTS. 5/5 for Rs.6800,5,"  Best phone @6800 Rs.Suitable for Parents and kids for online study.Has no standard features like fingerprint scanner, dual camera, IR blaster, type C charging port, no back cover.But at this price in COVID situation, it's the best. Display is huge(20:9).Camera is above par.Performance is good.Overall best package.5/5 for Rs.6800."
Best in this price range,5,  Loved it but it is a bit heavy because of the battery and the run time is absolutely the best suits for my work camera is okay but hey I didn't expect the camera to be a dslr so no complaints there anybody who really want a budget phone just go for it
Wow,5,  Wow
Very worst,1,"  I got a brand new redmi 9A with too much bad experience. From unboxing its not work properly. Even camera graphics and result very very worst. Also return option not available. You can replace only. So, please don't buy this worst product. Even for first time im facing that amazon support also not supporting in this issue. I've told amazon to return this but they suggest n replied for only replacement.  Very very bad experience for first time in amazon."
Good,4,"  Good mobile,in this corona times if we want quality product for basic regular usage,this Redmi 9a 3 gb /32 bestCamera is average like all entry-level mobiles,Redmi might send an update for small big fixes like every new mobile launch,gcam till now not available,with that quality of camera increasesDesign display very good,slim tall mobileBattery very good,takes 2.5 hours for full charge,so better charge when 40 % battery left.People who are planning to buy 4 gb /64 gb Redmi 9a,don't take it ,best to go for Redmi 9 as we get finger print scanner, slightly better speed,camera and build quality for just 700rs moreSpeed of Redmi 9a is good for 3- 4 appsCons:No gorilla glass protectionNo Secondary noise cancelling mic,this is big mistake by redmi as they give in every mobileNo Finger print scannerFinally under 10,000 rs all Redmi 9 series mobiles are very best as they provide 4 gb ram variant in very price segment,only option we have"
Screen resolution is not good & worst camera ever.. rest so so..,2,  Worst camera ever...both front & back... & Screen resolution is not good.
